,,,,,0,1,2,3,4
0,0,0,0,0,7.221083719221252,8.023542370357866,2.985980744050022,2.9505018651069825,8.0341528498424
0,0,0,0,1,15.068794121789178,14.621818407303671,19.260163920496737,13.650842722866978,22.42841779419673
0,0,0,0,2,3.3305458756718878,4.1579903931156155,3.8754711092990206,22.042332056712986,3.1198906886504756
0,0,0,1,0,20.524638284240083,11.860992063936195,15.853177577641754,22.74056060186779,18.594338850289887
0,0,0,1,1,22.491485476592636,17.41593429677598,19.500620513703716,23.450674604486984,32.024789722500756
0,0,0,1,2,19.243248266930507,15.58390080419081,19.11108337644012,19.62777377216148,15.726461537759436
0,0,0,2,0,8.164382655058548,8.641696695571518,8.674125746529949,3.2273770221737115,8.2332748555072
0,0,0,2,1,22.626464619555527,13.96406260959958,12.275130950667387,16.364709326066293,28.62810676901362
0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
0,0,1,0,0,16.35317141649164,17.02251729576173,29.17687296789645,14.074660466551457,14.731561946532562
0,0,1,0,1,22.48362199409012,20.55150395497224,21.63085602098611,14.42156311424637,23.178880192265126
0,0,1,0,2,15.13913767751431,11.730069177908408,17.524684029927762,13.051106435490059,13.339574994922174
0,0,1,1,0,20.54708545755934,15.72127416318381,23.003018471433435,17.434695551006712,13.917016789943329
0,0,1,1,1,23.99371442697428,20.232473139550486,24.737450906736484,26.842372095029194,21.198211738538085
0,0,1,1,2,17.623020414911643,16.17340020571821,18.555679155209514,19.39499200321393,18.367300159564074
0,0,1,2,0,19.919459479982265,9.772404635530254,32.48026136536445,14.812708296680572,13.508716496271083
0,0,1,2,1,22.054895355866634,13.435049412483746,19.54064753880243,20.18150946692954,29.731040116880813
0,0,1,2,2,0.0,0.0,0.0,0.0,0.0
0,0,2,0,0,6.867327851273131,7.130689645551588,4.75264943984015,6.1003195768653224,18.6841066608239
0,0,2,0,1,16.58127921489509,14.348143899929543,12.841277665531045,12.168119738408002,26.508604952517643
0,0,2,0,2,8.65208887338095,10.63565270713045,5.854532061104615,8.624547221590692,3.882734239042123
0,0,2,1,0,14.654311888634515,11.02051353167478,11.64490445726677,19.139171251142272,10.20834204198205
0,0,2,1,1,16.545412687165843,11.578469803569108,16.61095373250913,22.535897275085482,16.55363707303036
0,0,2,1,2,18.071444104216393,17.131011658299165,16.56426593418076,20.424632219623454,16.479206706437676
0,0,2,2,0,7.450441384363473,10.000609039997695,4.506128680378049,3.342799091325496,10.780941906442497
0,0,2,2,1,14.506979547621105,16.204033515119413,16.068521062132135,14.74559884853952,21.401592418298634
0,0,2,2,2,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,18.327244670145845,32.13050318568484,13.988579389624302,17.863498269015565,16.45365921940649
0,1,0,0,1,18.454181959519964,25.394756098217037,15.13637680198199,17.831755386655125,29.235063749750594
0,1,0,0,2,15.945201619396233,25.24615099900952,11.440461788867108,14.460846034499871,14.954219644197453
0,1,0,1,0,21.88306483032415,20.495858659237367,21.315423104022976,21.86736322040381,18.804528311449566
0,1,0,1,1,21.322417331172566,25.640674941295888,21.64077266244505,22.16119696869508,22.365168229801398
0,1,0,1,2,20.018523159601905,20.82050912142662,11.437733035318368,28.2657576424267,19.908897435290427
0,1,0,2,0,14.744935252100895,25.315384736363473,14.603732706333435,13.675556591970484,12.566716226684239
0,1,0,2,1,17.351585351036697,17.723680783310357,15.688979761017487,16.02501612323787,18.005199958669927
0,1,0,2,2,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0,19.848134216930156,18.088514341963,22.74096076980257,15.20442848985053,16.14238387796591
0,1,1,0,1,24.2918070349983,25.561400260991483,29.799695103209903,19.453852656425084,24.6078736922836
0,1,1,0,2,16.269927912650406,21.74048984548632,19.145067458308176,13.422220391298954,16.855588091036157
