,,,,,0,1,2,3,4
0,0,0,0,0,0.6611783226520047,5.599371714941441,0.22755702240483222,2.589060250066193,9.18097348706647
0,0,0,0,1,12.545460273579744,7.8276831401614615,10.275438178539746,12.24781686761795,16.01269079067867
0,0,0,0,2,3.490608163462455,8.01284319439805,1.5818988879320302,2.7002057383308085,-1.0096469259517369
0,0,0,1,0,11.865607790344525,11.238450432332062,8.125256948137164,12.801800219298629,7.211519723074824
0,0,0,1,1,13.832638624217093,12.461159655682325,13.437121469786145,13.916354985694383,18.274673207906083
0,0,0,1,2,12.668638898914123,7.86123116384798,10.460070289344722,12.706135189110235,11.996907615490175
0,0,0,2,0,0.9190682961779304,1.4237704010636762,0.7393975840165248,-2.2694659567357522,1.8616049823517231
0,0,0,2,1,14.038822839863238,10.451910480266054,8.304789625378719,12.33895974535988,15.967188518308712
0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
0,0,1,0,0,14.177418488261807,9.759655800591457,18.095774344532884,9.39665685356347,10.632081310059904
0,0,1,0,1,15.405656041578148,13.033658471225344,17.461334617195877,11.47049250808692,17.832625807066503
0,0,1,0,2,11.289865361844235,6.966675418298031,15.59027479177551,9.135103491016118,9.850562606060183
0,0,1,1,0,15.66906147513856,9.772648206654793,15.996024207153942,16.78035504890985,9.117074144995758
0,0,1,1,1,16.651140849430064,14.443207863441701,17.702668753325035,21.752472241158827,17.925370918330337
0,0,1,1,2,13.05671519152007,9.304674718840339,16.174610885446395,14.745583592297539,11.45715833334612
0,0,1,2,0,11.668811440599702,6.518450808810099,15.96371809463985,10.52570974271365,12.235631216742085
0,0,1,2,1,14.327210728567056,7.4274560955639215,14.570507443935787,13.713128523766166,14.19847368473498
0,0,1,2,2,0.0,0.0,0.0,0.0,0.0
0,0,2,0,0,1.1024096092374316,1.1698796677082106,-2.09970127839654,1.8995821266323007,1.246144391638512
0,0,2,0,1,12.066393479216812,11.764712349206059,10.346794536353086,9.499528648065152,14.05198876828868
0,0,2,0,2,1.6095357179985805,3.5026282062178975,-1.103120576134631,2.3656032708005865,-1.657738358469418
0,0,2,1,0,12.387685357786795,11.599084164868223,8.354309478619063,12.303358809848778,7.039723552136257
0,0,2,1,1,12.718400374383233,12.36974614310388,10.04320565110969,12.57826839889792,13.933300507801775
0,0,2,1,2,15.17350611739721,14.523764125449006,14.302829953108017,17.91348717153084,15.227434568521769
0,0,2,2,0,1.4268212568976957,2.7748628797448416,-2.450401534118389,-1.5389820984825933,1.8712319263252077
0,0,2,2,1,13.685581481338723,10.883887686034633,13.642140923303248,12.0005770276148,17.230868851380563
0,0,2,2,2,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,13.757842688909516,15.625948534632304,9.9517035740336,10.813888103424418,9.133447793599341
0,1,0,0,1,15.78162402612861,17.157796569118787,12.177339091624301,13.005521637499765,16.5905065452554
