,0
0,-46.0
1,-16.0
2,-43.0
3,14.0
4,13.0
5,-29.0
6,19.0
7,63.0
8,21.0
9,-42.0
10,67.0
11,-2.0
12,27.0
13,-121.0
14,-15.0
15,-65.0
16,51.0
17,-45.0
18,16.0
19,34.0
20,-30.0
21,-66.0
22,92.0
23,-19.0
24,42.0
25,-26.0
26,-4.0
27,-46.0
28,-11.0
29,118.0
30,-65.0
31,-124.0
32,72.0
33,77.0
34,6.0
35,-79.0
36,-57.0
37,-95.0
38,-40.0
39,3.0
40,-97.0
41,13.0
42,-86.0
43,-109.0
44,-1.0
45,-48.0
46,-21.0
47,-69.0
48,7.0
49,7.0
50,31.0
51,-18.0
52,3.0
53,-100.0
54,-44.0
55,-64.0
56,17.0
57,-44.0
58,22.0
59,-47.0
60,-56.0
61,-11.0
62,70.0
63,59.0
64,-52.0
65,17.0
66,-117.0
67,59.0
68,92.0
69,0.0
70,-14.0
71,-91.0
72,38.0
73,-61.0
74,22.0
75,47.0
76,27.0
77,44.0
78,-5.0
79,1.0
80,-76.0
81,-12.0
82,-97.0
83,47.0
84,9.0
85,44.0
86,-3.0
87,-38.0
88,43.0
89,-66.0
90,3.0
91,27.0
92,-42.0
93,47.0
94,-21.0
95,-97.0
96,50.0
97,21.0
98,-92.0
99,26.0
100,1.0
101,-5.0
102,-28.0
103,-25.0
104,35.0
105,-21.0
106,56.0
107,-46.0
108,-43.0
109,-50.0
110,-2.0
111,9.0
112,-8.0
113,0.0
114,-81.0
115,34.0
116,20.0
117,50.0
118,-57.0
119,39.0
120,31.0
121,51.0
122,-29.0
123,83.0
124,9.0
125,30.0
126,-64.0
127,-74.0
128,-13.0
129,76.0
130,42.0
131,13.0
132,-39.0
133,66.0
134,-38.0
135,-25.0
136,20.0
137,61.0
138,2.0
139,-85.0
140,31.0
141,-126.0
142,0.0
143,-29.0
144,-25.0
145,61.0
146,86.0
147,45.0
148,69.0
149,35.0
150,-42.0
151,28.0
152,23.0
153,-1.0
154,81.0
155,30.0
156,-102.0
157,-43.0
158,76.0
159,-40.0
160,-95.0
161,87.0
162,56.0
163,-37.0
164,-75.0
165,61.0
166,-17.0
167,-64.0
168,53.0
169,-38.0
170,77.0
171,-39.0
172,-32.0
173,3.0
174,62.0
175,13.0
176,36.0
177,59.0
178,56.0
179,59.0
180,35.0
181,-13.0
182,-43.0
183,36.0
184,46.0
185,-11.0
186,23.0
187,20.0
188,7.0
189,69.0
190,-41.0
191,27.0
192,54.0
193,-33.0
194,-39.0
195,30.0
196,-141.0
197,48.0
198,37.0
199,14.0
200,11.0
201,52.0
202,22.0
203,-41.0
204,-74.0
205,-20.0
206,31.0
207,7.0
208,16.0
209,-32.0
210,14.0
211,-110.0
212,52.0
213,100.0
214,37.0
215,-16.0
216,-25.0
217,-60.0
218,11.0
219,-103.0
220,-87.0
221,-32.0
222,-60.0
223,53.0
224,3.0
225,51.0
226,-48.0
227,-1.0
228,-69.0
229,-8.0
230,-11.0
231,43.0
232,96.0
233,5.0
234,-6.0
235,81.0
236,92.0
237,36.0
238,99.0
239,-26.0
240,-2.0
241,28.0
242,-22.0
243,-107.0
244,-4.0
245,-36.0
246,12.0
247,-52.0
248,-18.0
249,60.0
250,60.0
251,-66.0
252,-26.0
253,26.0
254,6.0
255,50.0
256,6.0
257,112.0
258,12.0
259,61.0
260,74.0
261,-66.0
262,38.0
263,-6.0
264,-20.0
265,25.0
266,22.0
267,-94.0
268,-90.0
269,46.0
270,-163.0
271,62.0
272,42.0
273,-6.0
274,47.0
275,-94.0
276,-17.0
277,-51.0
278,-21.0
279,-56.0
280,20.0
281,-19.0
282,-38.0
283,85.0
284,-38.0
285,-32.0
286,-50.0
287,10.0
288,-29.0
289,71.0
290,39.0
291,-107.0
292,21.0
293,-17.0
294,-11.0
295,-41.0
296,65.0
297,105.0
298,-66.0
299,-14.0
300,-53.0
301,-129.0
302,29.0
303,41.0
304,-2.0
305,-29.0
306,-8.0
307,80.0
308,-62.0
309,-8.0
310,28.0
311,54.0
312,-96.0
313,-19.0
314,-51.0
315,14.0
316,-137.0
317,-91.0
318,-91.0
319,-30.0
320,23.0
321,30.0
322,23.0
323,43.0
324,-83.0
325,-37.0
326,30.0
327,-214.0
328,2.0
329,61.0
330,11.0
331,-37.0
332,-31.0
333,-104.0
334,0.0
335,34.0
336,-70.0
337,21.0
338,43.0
339,-89.0
340,-75.0
341,38.0
342,15.0
343,34.0
344,13.0
345,32.0
346,86.0
347,-3.0
348,-84.0
349,-33.0
350,-56.0
351,15.0
352,-47.0
353,-80.0
354,-71.0
355,-59.0
356,-85.0
357,45.0
358,48.0
359,54.0
360,-24.0
361,14.0
362,-17.0
363,-40.0
364,-24.0
365,20.0
366,-36.0
367,-63.0
368,106.0
369,-34.0
370,28.0
371,24.0
372,-15.0
373,-106.0
374,19.0
375,52.0
376,53.0
377,22.0
378,-25.0
379,1.0
380,40.0
381,9.0
382,-71.0
383,-83.0
384,-30.0
385,-136.0
386,43.0
387,50.0
388,42.0
389,-50.0
390,-48.0
391,-1.0
392,43.0
393,57.0
394,5.0
395,60.0
396,36.0
397,14.0
398,-70.0
399,24.0
400,-3.0
401,-43.0
402,44.0
403,-43.0
404,72.0
405,-16.0
406,6.0
407,22.0
408,27.0
409,38.0
410,-41.0
411,-27.0
412,36.0
413,-13.0
414,-45.0
415,54.0
416,6.0
417,-91.0
418,15.0
419,30.0
420,67.0
421,53.0
422,35.0
423,-72.0
424,-15.0
425,-36.0
426,1.0
427,-102.0
428,11.0
429,-23.0
430,-39.0
431,110.0
432,37.0
433,28.0
434,-52.0
435,7.0
436,16.0
437,44.0
438,41.0
439,59.0
440,-108.0
441,30.0
442,-25.0
443,44.0
444,125.0
445,24.0
446,-11.0
447,40.0
448,31.0
449,62.0
450,-76.0
451,-18.0
452,-39.0
453,-66.0
454,66.0
455,80.0
456,-32.0
457,-23.0
458,16.0
459,6.0
460,-55.0
461,15.0
462,29.0
463,2.0
464,-69.0
465,-85.0
466,-29.0
467,73.0
468,-15.0
469,-43.0
470,45.0
471,-9.0
472,43.0
473,-10.0
474,3.0
475,-13.0
476,-96.0
477,-48.0
478,-94.0
479,71.0
480,-5.0
481,45.0
482,-3.0
483,-55.0
484,-39.0
485,39.0
486,-42.0
487,-7.0
488,32.0
489,60.0
490,67.0
491,-47.0
492,-38.0
493,-48.0
494,-3.0
495,-1.0
496,-86.0
497,13.0
498,-9.0
499,31.0
500,6.0
501,-34.0
502,5.0
503,80.0
504,-34.0
505,24.0
506,-17.0
507,-108.0
508,11.0
509,-29.0
510,-16.0
511,-11.0
512,-3.0
513,11.0
514,-64.0
515,25.0
516,33.0
517,-4.0
518,-73.0
519,16.0
520,-57.0
521,85.0
522,-161.0
523,-64.0
524,1.0
525,31.0
526,-54.0
527,-19.0
528,47.0
529,13.0
530,28.0
531,57.0
532,-31.0
533,37.0
534,66.0
535,-48.0
536,9.0
537,-17.0
538,-89.0
539,42.0
540,-68.0
541,-38.0
542,79.0
543,93.0
544,-75.0
545,-140.0
546,60.0
547,74.0
548,-35.0
549,-59.0
550,-5.0
551,-79.0
552,-2.0
553,-55.0
554,51.0
555,-23.0
556,-39.0
557,15.0
558,25.0
559,-41.0
560,40.0
561,-23.0
562,35.0
563,-78.0
564,27.0
565,48.0
566,72.0
567,-4.0
568,22.0
569,-78.0
570,-58.0
571,-105.0
572,18.0
573,-7.0
574,88.0
575,28.0
576,-46.0
577,68.0
578,1.0
579,-51.0
580,11.0
581,8.0
582,78.0
583,22.0
584,-21.0
585,53.0
586,-53.0
587,32.0
588,63.0
589,-26.0
590,43.0
591,-46.0
592,3.0
593,42.0
594,-4.0
595,18.0
596,-22.0
597,12.0
598,-81.0
599,-12.0
600,-27.0
601,-73.0
602,46.0
603,-134.0
604,54.0
605,2.0
606,7.0
607,-110.0
608,-61.0
609,-13.0
610,8.0
611,-87.0
612,-17.0
613,-63.0
614,-14.0
615,30.0
616,79.0
617,65.0
618,-55.0
619,-14.0
620,26.0
621,-19.0
622,101.0
623,-19.0
624,-10.0
625,-31.0
626,3.0
627,29.0
628,69.0
629,34.0
630,61.0
631,14.0
632,-37.0
633,26.0
634,61.0
635,-42.0
636,43.0
637,-89.0
638,-73.0
639,14.0
640,52.0
641,71.0
642,-45.0
643,70.0
644,-154.0
645,44.0
646,-57.0
647,39.0
648,-38.0
649,-17.0
650,35.0
651,-5.0
652,72.0
653,-9.0
654,-23.0
655,64.0
656,-82.0
657,48.0
658,27.0
659,-2.0
660,-27.0
661,-42.0
662,-45.0
663,39.0
664,138.0
665,57.0
666,35.0
667,2.0
668,1.0
669,4.0
670,-63.0
671,30.0
672,-11.0
673,14.0
674,-119.0
675,8.0
676,46.0
677,-91.0
678,-11.0
679,-3.0
680,65.0
681,34.0
682,4.0
683,14.0
684,-9.0
685,30.0
686,56.0
687,-12.0
688,60.0
689,4.0
690,-46.0
691,-61.0
692,-28.0
693,-42.0
694,15.0
695,-15.0
696,6.0
697,43.0
698,-7.0
699,-26.0
700,-28.0
701,98.0
702,-71.0
703,-18.0
704,19.0
705,-94.0
706,-20.0
707,63.0
708,72.0
709,-14.0
710,-2.0
711,20.0
712,33.0
713,-24.0
714,57.0
715,46.0
716,-41.0
717,-48.0
718,-16.0
719,-25.0
720,56.0
721,-8.0
722,23.0
723,17.0
724,101.0
725,-28.0
726,-15.0
727,56.0
728,-67.0
729,-113.0
730,97.0
731,30.0
